,n_estimators,max_depth,max_leaves,learning_rate,Accuracy,Train Score,Test Score,Difference
74,300,17,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
69,300,16,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
59,300,14,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
64,300,15,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
54,300,13,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
34,200,14,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
49,200,17,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
29,200,13,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
39,200,15,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
44,200,16,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
63,300,15,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
73,300,17,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
58,300,14,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
53,300,13,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
68,300,16,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
38,200,15,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
28,200,13,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
43,200,16,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
33,200,14,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
48,200,17,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
52,300,13,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
57,300,14,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
62,300,15,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
72,300,17,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
67,300,16,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
19,100,16,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
24,100,17,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
14,100,15,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
9,100,14,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
4,100,13,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
47,200,17,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
