Activation Function,Epoch,Train Loss,Validation Loss,Test Accuracy
Sigmoid,1,2.3059108992532056,2.3036928367310057,0.413
Sigmoid,2,2.304968021957827,2.3042321547913476,0.413
Sigmoid,3,2.304860670751131,2.302985878417286,0.413
Sigmoid,4,2.304902321546412,2.304179916747462,0.413
Sigmoid,5,2.304778134449125,2.3046779701123223,0.413
Sigmoid,6,2.3045321642704217,2.3033735218901223,0.413
Sigmoid,7,2.3044788887770755,2.3054070647913045,0.413
Sigmoid,8,2.3043548459817567,2.3039778962302893,0.413
Sigmoid,9,2.3040219070205152,2.30317960836636,0.413
Sigmoid,10,2.303741489551957,2.303353727816012,0.413
Sigmoid,11,2.303706614389987,2.3053788422776487,0.413
Sigmoid,12,2.3037644741402477,2.302882590613807,0.413
Sigmoid,13,2.303274748192639,2.3019819183471486,0.413
Sigmoid,14,2.3025052542878663,2.303367593417914,0.413
Sigmoid,15,2.3021058859309553,2.3011720911763347,0.413
Sigmoid,16,2.3008732074205493,2.300477067502543,0.413
Sigmoid,17,2.299320172744917,2.2996900409174423,0.413
Sigmoid,18,2.29582760018259,2.293262992042322,0.413
Sigmoid,19,2.286407537057624,2.2739632799983407,0.413
Sigmoid,20,2.2357737406354183,2.143193595325604,0.413
Sigmoid,21,1.909178179269865,1.7274741764647512,0.413
Sigmoid,22,1.672173810172981,1.6299254109684271,0.413
Sigmoid,23,1.600280616272739,1.5699137590182857,0.413
Sigmoid,24,1.5410631419143384,1.5135781521233507,0.413
Sigmoid,25,1.4866767304872597,1.4619855530345782,0.413
Tanh,1,0.9981838962586355,0.6045601094683138,0.8706
Tanh,2,0.530763409397805,0.4887399808191263,0.8706
Tanh,3,0.4624692609179729,0.4374766386688327,0.8706
Tanh,4,0.4283274255278243,0.47692366953665455,0.8706
Tanh,5,0.4055511891193597,0.4021913121207454,0.8706
Tanh,6,0.3872112120791879,0.3983936899790939,0.8706
Tanh,7,0.3749863567332465,0.41255755527331806,0.8706
Tanh,8,0.36232686911305023,0.40425331902484923,0.8706
Tanh,9,0.35191338837995256,0.3669013737822874,0.8706
Tanh,10,0.34296488299517774,0.358913282366892,0.8706
Tanh,11,0.3341632776358001,0.373577600505691,0.8706
Tanh,12,0.3261669628365026,0.35632891969654124,0.8706
Tanh,13,0.31956712635363893,0.34581783895913404,0.8706
