Activation Function,Epoch,Train Loss,Validation Loss,Test Accuracy
Sigmoid,1,2.3051750981800083,2.309031919168588,0.7729
Sigmoid,2,2.3049506714003862,2.306259668673189,0.7729
Sigmoid,3,2.3047800999151464,2.305662788141269,0.7729
Sigmoid,4,2.3046373361513086,2.3062537462947468,0.7729
Sigmoid,5,2.3045600424648782,2.3037715796083686,0.7729
Sigmoid,6,2.304502300932403,2.303719060489545,0.7729
Sigmoid,7,2.304287152647286,2.30482918995257,0.7729
Sigmoid,8,2.304297412730758,2.3038303981573818,0.7729
Sigmoid,9,2.3039854149443175,2.302229109663552,0.7729
Sigmoid,10,2.3038820138895884,2.3047435580731963,0.7729
Sigmoid,11,2.3033922444683426,2.3033605010364764,0.7729
Sigmoid,12,2.303501445821517,2.3031708767619756,0.7729
Sigmoid,13,2.3030061811799816,2.3031727079385385,0.7729
Sigmoid,14,2.302484274825757,2.3025046712674273,0.7729
Sigmoid,15,2.3020399208642393,2.3009375802244243,0.7729
Sigmoid,16,2.301523721912162,2.3007304135222024,0.7729
Sigmoid,17,2.300219384508871,2.299216631502389,0.7729
Sigmoid,18,2.2986803108198246,2.298044478169645,0.7729
Sigmoid,19,2.2951553687024253,2.2908660337186086,0.7729
Sigmoid,20,2.285748901232953,2.2788725447730895,0.7729
Sigmoid,21,2.2427095369276753,2.1705080685904994,0.7729
Sigmoid,22,1.9438564110015801,1.7449158616721059,0.7729
Sigmoid,23,1.6798248834054743,1.6332648139411268,0.7729
Sigmoid,24,1.6010044276218574,1.5688466172629651,0.7729
Sigmoid,25,1.5240174083471756,1.4698930632192106,0.7729
Sigmoid,26,1.4002688599944648,1.335627088912379,0.7729
Sigmoid,27,1.288616386881564,1.2553086155138837,0.7729
Sigmoid,28,1.2153798764284345,1.1898652120900992,0.7729
Sigmoid,29,1.1578379254347226,1.1360129971092883,0.7729
Sigmoid,30,1.1080145441562947,1.089890371305874,0.7729
Sigmoid,31,1.0592746836057627,1.039913709171283,0.7729
Sigmoid,32,1.0113645445362391,0.995187832143741,0.7729
Sigmoid,33,0.9713725091094629,0.9626325443148994,0.7729
Sigmoid,34,0.9398991184896639,0.9330285987534082,0.7729
Sigmoid,35,0.9142739754301268,0.9120870352553102,0.7729
Sigmoid,36,0.8911782401308217,0.8897595754065833,0.7729
Sigmoid,37,0.8686439666089079,0.8679347817128459,0.7729
Sigmoid,38,0.8463364868917606,0.8435883690564396,0.7729
Sigmoid,39,0.8237503932899797,0.8200313696465172,0.7729
Sigmoid,40,0.8021168201990182,0.7986706634299062,0.7729
Sigmoid,41,0.7800739836364851,0.7793193115784337,0.7729
Sigmoid,42,0.7577440004774338,0.7528891961414593,0.7729
Sigmoid,43,0.7350150436754037,0.7356030641081995,0.7729
Sigmoid,44,0.7133615379598914,0.712677952961419,0.7729
Sigmoid,45,0.6931021940380201,0.7005327584834906,0.7729
Sigmoid,46,0.675537438573398,0.6787595304246908,0.7729
Sigmoid,47,0.6608686444664794,0.6695347706349893,0.7729
Sigmoid,48,0.6466824719712129,0.6510172920486036,0.7729
Sigmoid,49,0.6339756091168807,0.648256114353768,0.7729
Sigmoid,50,0.6226809566419855,0.6359526927288348,0.7729
Tanh,1,0.9901479557394905,0.612598533352343,0.8823
Tanh,2,0.5310254578817676,0.48895672830149006,0.8823
Tanh,3,0.4629504227497146,0.44487922717207157,0.8823
Tanh,4,0.42889122043808375,0.41779958930449745,0.8823
Tanh,5,0.40636284028728725,0.4155839304335582,0.8823
Tanh,6,0.3892107272588589,0.39017325975357914,0.8823
Tanh,7,0.37435013900486536,0.4107367388975506,0.8823
Tanh,8,0.3625444982865836,0.3791430346167887,0.8823
Tanh,9,0.3522813980606452,0.38797295633882,0.8823
Tanh,10,0.3422165091673266,0.35919330766597113,0.8823
Tanh,11,0.33480432269211696,0.36573774250932395,0.8823
Tanh,12,0.325086965522969,0.39040345301072055,0.8823
Tanh,13,0.3198572927496026,0.3435879624523103,0.8823
Tanh,14,0.31275348210622694,0.35608022427930236,0.8823
Tanh,15,0.3067226544575514,0.3433818836895803,0.8823
Tanh,16,0.3002174911008801,0.34587427557181244,0.8823
Tanh,17,0.29391862617201403,0.3890668240646585,0.8823
Tanh,18,0.2892539206289246,0.33139932123474036,0.8823
Tanh,19,0.2836701191570884,0.3279356242368777,0.8823
Tanh,20,0.2767353891296716,0.3299343247478381,0.8823
Tanh,21,0.27194894849896545,0.36861238413201736,0.8823
Tanh,22,0.2683202788109819,0.34482704717130325,0.8823
Tanh,23,0.2628976156004369,0.32299869327832714,0.8823
Tanh,24,0.2591477422829019,0.37570470144240237,0.8823
Tanh,25,0.2553355471658272,0.3347931066498208,0.8823
Tanh,26,0.2504343751195868,0.3230797314046385,0.8823
Tanh,27,0.24461600772073577,0.3442827257842492,0.8823
Tanh,28,0.24147517244931566,0.33613617426623554,0.8823
Tanh,29,0.2380795544293433,0.32588074888926916,0.8823
Tanh,30,0.23321305595276376,0.3375116776044186,0.8823
Tanh,31,0.22920343082371958,0.3301994817170758,0.8823
Tanh,32,0.22557095748682818,0.31707216455294684,0.8823
Tanh,33,0.2219472535726777,0.33570580051753657,0.8823
Tanh,34,0.21606932145377153,0.34624551768643785,0.8823
Tanh,35,0.2138759091535794,0.327224927981155,0.8823
Tanh,36,0.20968174757656385,0.31495093886320963,0.8823
Tanh,37,0.2066311528006484,0.346407630001775,0.8823
Tanh,38,0.20236061467543026,0.3190933883713838,0.8823
Tanh,39,0.19960274278786289,0.3279724190898311,0.8823
Tanh,40,0.1954037604051489,0.31068461246122,0.8823
Tanh,41,0.19379312233547713,0.34774712833781213,0.8823
Tanh,42,0.18948526817873854,0.33567878264136397,0.8823
Tanh,43,0.18473042705425813,0.32360193962915634,0.8823
Tanh,44,0.18148634652502868,0.48092158082218023,0.8823
Tanh,45,0.17915833370267906,0.41953333211354554,0.8823
Tanh,46,0.17416943670015111,0.3878251853735207,0.8823
Tanh,47,0.1728582362133726,0.32011285626564545,0.8823
Tanh,48,0.16935528206840986,0.34369999681489344,0.8823
Tanh,49,0.16612107177954394,0.34232714850776874,0.8823
Tanh,50,0.1611662888905404,0.32092552083416487,0.8823
ReLU,1,1.3064091944458083,0.7252137597186116,0.8895
ReLU,2,0.5935508952412327,0.574115439630545,0.8895
ReLU,3,0.4824316111069723,0.47145962386656876,0.8895
ReLU,4,0.4308235446564372,0.41977102692706136,0.8895
ReLU,5,0.3964722748042602,0.3965942594951715,0.8895
ReLU,6,0.37478057569177653,0.4033779021792899,0.8895
ReLU,7,0.3548210802716242,0.5184036577090668,0.8895
ReLU,8,0.33848062166211246,0.39830232661562603,0.8895
ReLU,9,0.32416156879837743,0.34558327194934074,0.8895
ReLU,10,0.312213674473671,0.34870720929659593,0.8895
ReLU,11,0.29981703131256465,0.33727919979217336,0.8895
ReLU,12,0.2891681668535113,0.3322340986980036,0.8895
ReLU,13,0.27978039540765154,0.35444105191590686,0.8895
ReLU,14,0.26954267867581627,0.45963930790892804,0.8895
ReLU,15,0.2612365919450728,0.355459293701683,0.8895
ReLU,16,0.25270577717121984,0.3296145981374069,0.8895
ReLU,17,0.24555001131265458,0.3385004876092219,0.8895
ReLU,18,0.23818765426327498,0.32300586412889887,0.8895
ReLU,19,0.22850290857379396,0.38856331263772975,0.8895
ReLU,20,0.22255118595113263,0.3128057203282373,0.8895
ReLU,21,0.21592370316657933,0.327156361490012,0.8895
ReLU,22,0.20868550831605742,0.34865771433987175,0.8895
ReLU,23,0.20428764295388283,0.34725787097844074,0.8895
ReLU,24,0.19631675711248406,0.3318894785433151,0.8895
ReLU,25,0.18988157028626707,0.39476647948066645,0.8895
ReLU,26,0.1848652453363771,0.3211337348368888,0.8895
ReLU,27,0.17619150625011495,0.35563552236785523,0.8895
ReLU,28,0.17373523722365214,0.33648618175008427,0.8895
ReLU,29,0.16734417678188873,0.3249059260938876,0.8895
ReLU,30,0.16286831670956148,0.35150243015811083,0.8895
ReLU,31,0.1569327600771038,0.33145655671985574,0.8895
ReLU,32,0.1511093384609513,0.35306368046663344,0.8895
ReLU,33,0.1469923467652411,0.34648023818890317,0.8895
ReLU,34,0.14262196612624797,0.35475917866292855,0.8895
ReLU,35,0.13430871615890635,0.356730466646056,0.8895
ReLU,36,0.13433407520415333,0.34158178149297025,0.8895
ReLU,37,0.13196948116796564,0.44423985739235583,0.8895
ReLU,38,0.12443596981996129,0.3470508100572057,0.8895
ReLU,39,0.11991777889322078,0.38639724572388506,0.8895
ReLU,40,0.11541812847054403,0.3928380175389516,0.8895
ReLU,41,0.11162725707318846,0.3946117550393525,0.8895
ReLU,42,0.10676588865934906,0.4361272621959353,0.8895
ReLU,43,0.1047992064854129,0.39576146685884306,0.8895
ReLU,44,0.09998441488533898,0.36997560107003385,0.8895
ReLU,45,0.09804676545138714,0.4180419384427488,0.8895
ReLU,46,0.09359786873376467,0.41548226932926585,0.8895
ReLU,47,0.0905453651058723,0.407574390864577,0.8895
ReLU,48,0.08884543578080256,0.4163140871598513,0.8895
ReLU,49,0.08499162808916891,0.5071860483993357,0.8895
ReLU,50,0.08251325865794552,0.41619054716193493,0.8895
LeakyReLU,1,1.3652550293250643,0.6529534213459149,0.8894
LeakyReLU,2,0.575561450790764,0.5546392038607368,0.8894
LeakyReLU,3,0.48465788129881565,0.46568395264042073,0.8894
LeakyReLU,4,0.4369130433797455,0.42642350171130305,0.8894
LeakyReLU,5,0.4050718606071295,0.44133759561342933,0.8894
LeakyReLU,6,0.37898692332317796,0.3928723789918156,0.8894
LeakyReLU,7,0.35914949456888823,0.3503792967421178,0.8894
LeakyReLU,8,0.34195016015390134,0.3677235732491786,0.8894
LeakyReLU,9,0.326696122211767,0.3466583807675983,0.8894
LeakyReLU,10,0.3140144797967972,0.3573539119701797,0.8894
LeakyReLU,11,0.30198611686827276,0.3360423878454172,0.8894
LeakyReLU,12,0.2908685048916976,0.3135002783883494,0.8894
LeakyReLU,13,0.2817112598174936,0.33794855512083527,0.8894
LeakyReLU,14,0.2711733907594638,0.33566254686814145,0.8894
LeakyReLU,15,0.2639860706814992,0.3539322840448576,0.8894
LeakyReLU,16,0.25389902716263013,0.3324405054172007,0.8894
LeakyReLU,17,0.24542531453106392,0.3424124544420943,0.8894
LeakyReLU,18,0.2398311604762966,0.30354243255080504,0.8894
LeakyReLU,19,0.2328371772219642,0.3520007676566942,0.8894
LeakyReLU,20,0.2252916384211867,0.31082436295981986,0.8894
LeakyReLU,21,0.21683023596851017,0.3129660251755684,0.8894
LeakyReLU,22,0.20930712358336073,0.34656207313457615,0.8894
LeakyReLU,23,0.20505140614841832,0.2996177137278901,0.8894
LeakyReLU,24,0.19835603403157517,0.2967057315210184,0.8894
LeakyReLU,25,0.19167026377897364,0.31863659289412605,0.8894
LeakyReLU,26,0.18529673411986974,0.3783636546482484,0.8894
LeakyReLU,27,0.18040879204588026,0.33758087863865943,0.8894
LeakyReLU,28,0.1737237770601354,0.3388382873971003,0.8894
LeakyReLU,29,0.1678288688004894,0.35761456735455954,0.8894
LeakyReLU,30,0.1614417182329282,0.3234957745328498,0.8894
LeakyReLU,31,0.1573776952035711,0.31396074782307154,0.8894
LeakyReLU,32,0.15138830114465854,0.35353368586494616,0.8894
LeakyReLU,33,0.14776948348381297,0.34697669737350445,0.8894
LeakyReLU,34,0.1414993608999647,0.3388685621678258,0.8894
LeakyReLU,35,0.1372291382842519,0.340830690063798,0.8894
LeakyReLU,36,0.13111707156879193,0.4207417754867016,0.8894
LeakyReLU,37,0.12807671299534334,0.37857865717131106,0.8894
LeakyReLU,38,0.12514611417475327,0.35781393959499397,0.8894
LeakyReLU,39,0.11743840761452923,0.389600738024595,0.8894
LeakyReLU,40,0.11455680712937155,0.41000000008057574,0.8894
LeakyReLU,41,0.10991635347251147,0.34972987806025785,0.8894
LeakyReLU,42,0.10839293913567774,0.463625758600692,0.8894
LeakyReLU,43,0.1042679401006733,0.39957295742611915,0.8894
LeakyReLU,44,0.09936034708535292,0.3861787950013059,0.8894
LeakyReLU,45,0.09861563324930667,0.3781882554780656,0.8894
LeakyReLU,46,0.09454607893295719,0.4026130569753603,0.8894
LeakyReLU,47,0.0903639043790812,0.3862525584955756,0.8894
LeakyReLU,48,0.08772291100637002,0.40216727230769284,0.8894
LeakyReLU,49,0.08218402244495937,0.39878541722405736,0.8894
LeakyReLU,50,0.08011049716268628,0.40041845624510664,0.8894
SiLU,1,2.2499120728907034,1.7814394387955101,0.8764
SiLU,2,0.9323279094940108,0.6956851422405852,0.8764
SiLU,3,0.5782749431490212,0.5562821277223837,0.8764
SiLU,4,0.49606577463815094,0.5423869612498786,0.8764
SiLU,5,0.4558658217981467,0.44233724962884247,0.8764
SiLU,6,0.4280892789926349,0.4296887802620665,0.8764
SiLU,7,0.4086702565781138,0.40929784970923355,0.8764
SiLU,8,0.3943562963101548,0.3931549248127892,0.8764
SiLU,9,0.38263358942263415,0.3887141176972526,0.8764
SiLU,10,0.37149371873165504,0.39863968145447415,0.8764
SiLU,11,0.36393927343270754,0.38545319280875756,0.8764
SiLU,12,0.35441037595643876,0.4078737637652947,0.8764
SiLU,13,0.347709514119651,0.36199216466075695,0.8764
SiLU,14,0.34021200644125255,0.37135173837407326,0.8764
SiLU,15,0.3328722762903264,0.35710321500088077,0.8764
SiLU,16,0.32753193055733,0.38830822249190117,0.8764
SiLU,17,0.32198091413556423,0.34250490404308415,0.8764
SiLU,18,0.3164315017003397,0.35162617837468657,0.8764
SiLU,19,0.31053630509297586,0.33464895901731406,0.8764
SiLU,20,0.3065461330354137,0.34418442488287965,0.8764
SiLU,21,0.3005230772265508,0.3671520505183802,0.8764
SiLU,22,0.2962939059522697,0.33982027182801844,0.8764
SiLU,23,0.2918255965148533,0.373868515720954,0.8764
SiLU,24,0.28727487259933526,0.3385714727659195,0.8764
SiLU,25,0.28277071441928314,0.32473971557836184,0.8764
SiLU,26,0.27798572790547393,0.3388545519104019,0.8764
SiLU,27,0.2753432601647391,0.32809921912253853,0.8764
SiLU,28,0.27013273164629936,0.3258231539433947,0.8764
SiLU,29,0.2667173870081846,0.3292721829618128,0.8764
SiLU,30,0.2633149321950729,0.3244552877835763,0.8764
SiLU,31,0.25810227709121036,0.3204754897580741,0.8764
SiLU,32,0.2556097083585009,0.32460158013592894,0.8764
SiLU,33,0.2523478746523822,0.3242839820825825,0.8764
SiLU,34,0.24875673388088657,0.3153814076425168,0.8764
SiLU,35,0.24543657120596082,0.31612457007693406,0.8764
SiLU,36,0.24191502196403245,0.31277301173193006,0.8764
SiLU,37,0.23778841354224595,0.3226582737276539,0.8764
SiLU,38,0.2351219414155966,0.32614583120987817,0.8764
SiLU,39,0.23075062725323556,0.3195887256782657,0.8764
SiLU,40,0.22760603583452987,0.3155249356152341,0.8764
SiLU,41,0.22589297461074967,0.37499888736409503,0.8764
SiLU,42,0.22104081651761948,0.3339833637324575,0.8764
SiLU,43,0.21868223812543117,0.3166530168594453,0.8764
SiLU,44,0.21421099581796813,0.34601257141596214,0.8764
SiLU,45,0.21237870913430315,0.32171753768365796,0.8764
SiLU,46,0.20839107512202654,0.31912782918007226,0.8764
SiLU,47,0.2042052079282906,0.3539455749522954,0.8764
SiLU,48,0.20255328033307732,0.33219080977141857,0.8764
SiLU,49,0.19905632409318966,0.32936310631255755,0.8764
SiLU,50,0.1956475683912797,0.33329036464682593,0.8764
